scarf шарф
heavenly небесний
largest найбільший
proceeding продовжуючи
impatient нетерплячий
wounds рани
warmth тепло
certainty впевненість
restless неспокійний
meantime тим часом
rays промені
salvation порятунок
lovers коханці
experiment експеримент
shores береги
today сьогодні
tremendous величезний
afforded надається
moonlight місячне світло
intend маєте намір
california каліфорнія
cultivated культивується
flushed промитий
shakespeare шекспір
newspapers газети
rocky скелястий
pious благочестивий
wont звичай
steam пари
improvement поліпшення
garments одяг
ned нед
treasury скарбниця
merchants купці
perpetual вічний
trained навчений
products продукти
affectionate лагідний
dispute суперечка
visitors відвідувачі
poison отрута
proposition пропозиція
maybe може бути
rifle гвинтівка
warned попередив
parting розставання
shield щит
erected споруджений
employ працювати
prevailed панував
talent талант
rises піднімається
climate клімат
chairs стільці
searched шукали
unlike на відміну від
recover відновитися
mate мати
arrange організувати
fortunes фортуни
puzzled здивований
committee комітет
aged у віці
ohio огайо
ashes прах
ghost привид
b б
promises обіцянки
bushes кущі
effective ефективний
distinguish відрізнити
manifest маніфест
comparatively порівняно
esteem повага
blew підірвав
revelation одкровення
wash мити
recognition визнання
confession сповідь
clay глина
nonsense нісенітниця
trunk стовбур
management управління
undoubtedly безсумнівно
dried висушений
dorothy доротій
chiefs вождів
coal вугілля
stolen вкрадений
earthly земний
restore відновлення
indirectly опосередковано
lasted тривала
selfish егоїстичний
renewed оновлений
canoe каное
protest протестувати
vice пороку
races гонки
deemed вважається
temporary тимчасовий
pile купа
frederick фрідріх
chapel каплиця
moderate помірний
spell заклинання
massachusetts штат массачусетс
upright вертикально
quoted цитується
area площа
bone кістка
solitude самотність
instruments інструменти
formal формальний
students студенти
greatness велич
struggling бореться
monday понеділок
reproach докорами
altered змінений
grim похмурий
leaped стрибнув
venice венеція
federal федеральний
questioned підданий сумніву
editor редактор
desirable бажано
acknowledge визнати
motionless нерухомий
remedy виправлення
bestowed дарував
pursue переслідувати
representative представник
pole полюс
gladly із задоволенням
linen льон
vital життєво важливий
sink раковина
pacific тихоокеанський регіон
hopeless безнадійно
dangers небезпеки
gratefully з вдячністю
president президент
travelled їздив
ward палата
nephew племінник
ms мс
cheer підбадьорити
bloody кривавий
siege облоги
commands команди
justified виправдано
atlantic атлантика
stomach шлунок
improved покращився
admire помилуватися
openly відкрито
sailors матроси
abide дотримуйся
advancing просування
forests ліси
records записи
polly поллі
recorded записаний
modification модифікація
dramatic драматичний
statements висловлювання
upstairs нагорі
varied різноманітний
letting дозволяючи
wilson вілсон
comrades товариші
sets набори
descent спуск
whither куди
envy заздрість
load навантаження
pretend робити вигляд
folded складений
brass латунь
internal внутрішній
furious лютий
curtain завіса
healthy здоровий
obscure неясний
summit саміт
alas на жаль!
fifth п'ятий
center центр
faced зіткнувся
cheap дешево
saints святі
colonel полковник
egyptian єгипетський
contest конкурс
owned належить
adventures пригоди
exclusion виключення
seize захопити
chances шанси
springs пружини
alter змінити
landing посадка
fence огорожа
leagues ліги
glimpse перегляд
statue статуя
contract договір
luxury розкіш
artillery артилерія
doubts сумніви
saving економія
fro ось
string рядок
combination комбінація
awakened прокинувся
faded вицвілі
arrest арешт
protected захищений
temperature температура
strict строгий
contented задоволений
professional професійний
intent намір
brother's братський
injured поранений
neighborhood сусідство
andrew андрій
abundance достаток
smoking куріння
yourselves самі
medical медичний
garrison гарнізон
likes любить
corps корпус
heroic героїчний
inform інформувати
wife's дружина
retained зберігся
agitation агітація
nobles дворяни
prominent видатний
institution установи
judged судив
embrace обійми
wheels колеса
closing закриття
damaged пошкоджено
pack упаковка
affections прихильності
eldest старший
anguish страждання
surrounding оточуючих
obviously очевидно
strictly строго
capture захоплення
drops краплі
inquire запитати
ample достатньо
remainder залишок
justly справедливо
recollection спогад
deer оленя
answers відповіді
bedroom спальня
purely суто
bush кущ
plunged занурився
thyself ти сам
joint суглоб
refer посилатися
expecting чекаючи
madam мадам
railroad залізниця
spake говорив
respecting поважаючи
jan січень
columns колони
weep плакати
identify ідентифікувати
discharge розряд
bench лавка
ralph ральф
heir спадкоємець
oak дуб
rescue порятунок
limit ліміт
unpleasant неприємно
anxiously тривожно
innocence невинність
awoke прокинувся
expectation очікування
incomplete неповна
program програма
reserved зарезервований
secretly таємно
we've ми маємо
invention винахід
faults несправності
disagreeable неприємно
piano фортепіано
defeated переміг
charms принади
purse гаманець
persuade переконувати
deprived позбавлений
electric електричний
endless нескінченні
interval інтервал
chase переслідувати
heroes герої
invisible невидимий
well-known добре відомий
occupy займати
jacob яків
gown плаття
cruelty жорстокість
lock замок
lowest найнижчий
hesitation вагання
withdrew зняв
proposal пропозиція
destiny доля
recognised визнаний
commons загальні
foul фол
loaded завантажений
amidst посеред
titles назви
ancestors предки
types типи
commanding командуючий
madness божевілля
happily щасливо
assigned призначений
declined відхилено
temptation спокуса
lady's леді
subsequent наступний
jewels дорогоцінні камені
breathed дихав
willingly охоче
youthful юнацький
bells дзвони
spectacle видовище
uneasy непросто
shine світити
formidable грізний
stately величний
machinery машини
fragments фрагменти
rushing мчить
attractive привабливий
product продукт
economic економічний
sickness хвороба
uses використовує
dashed пунктирний
engine двигун
ashore на березі
dates дати
theirs їх
adv адв
clasped стиснули
international міжнародний
leather шкіра
spared пощадив
crushed дроблений
interfere заважати
subtle витончений
waved махнув
slope схил
floating плаваюча
worry турбуватися
effected здійснюється
passengers пасажири
violently сильно
donation пожертвування
steamer пароплав
witnesses свідки
word слово
specified зазначено
learnt навчився
stores магазини
designed розроблений
guessed здогадувався
roger рогер
timber деревина
talents таланти
heed прислухся
jackson джексон
murdered вбито
vivid яскравий
woe горе
calculate розрахувати
killing вбивство
laura лаура
savages дикуни
wasted даремно
trifle дрібниця
funny смішно
pockets кишені
philosopher філософ
insult образа
den ден
representation представництво
incapable недієздатний
eloquence красномовство
dine обідати
temples храми
ann ан
sensitive чутливий
robin робінь
appetite апетит
wishing бажаючи
picturesque мальовничий
douglas дуглас
courtesy люб'язно
flowing тече
remembrance пам'ять
lawyers адвокати
sphere сфера
murmur бурмотіти
elegant елегантний
honourable почесний
stopping зупиняючись
guilt провина
welfare добробут
avoided уникати
fishing риболовля
perish загинути
sober тверезий
steal вкрасти
delicious смачно
infant немовля
lip губа
norman норман
offended ображений
dost дост
memories спогади
wheat пшениця
japanese японська
humor гумор
exhibited виставлений
encounter зустрітися
footsteps кроки
marquis маркіз
smiles посміхається
amiable люб'язний
twilight сутінки
arrows стріли
consisting що складається
park парк
retire піти у відставку
economy економіка
sufferings страждання
secrets таємниці
na на
halted зупинено
govern правити
favourable сприятливий
colors кольори
translated перекладений
stretch розтягнути
formation формування
immortal безсмертний
gallery галерея
parallel паралельно
lean нахиляйся
tempted спокуса
frontier кордон
continent континент
knock стукати
impatience нетерпіння
unity єдність
dealing займатися
prohibition заборона
decent гідний
fiery вогненний
images зображення
tie краватка
punished покараний
submitted подано
julia юлія
albert альберт
rejoined приєднався
speedily швидко
consented згоден
major мажор
preliminary попередній
cell клітина
void недійсний
placing розміщення
prudence розсудливість
egg яйце
amazement здивування
border кордон
artificial штучний
hereafter надалі
fanny фенні
crimes злочини
breathe дихай
exempt звільнений від оподаткування
anchor якоря
chicago чикаго
sits сидить
purchased придбано
eminent видатний
neighbors сусіди
glowing світиться
sunlight сонячне світло
examples приклади
exercised здійснюється
wealthy заможні
seeming здавалося
bonaparte бонапарт
shouting крики
thanked подякував
illustrious знаменитий
curiously цікаво
inspiration натхнення
seeds насіння
naval військово-морський флот
foes вороги
everyone кожен
longed бажаний
abundant рясний
doubted сумнівався
painter художник
greeted привітався
erect прямостоячий
glasses окуляри
meanwhile тим часом
shooting стрілянина
athens афіни
wagon вагон
lend позичити
lent позичив
crisis криза
undertake зобов'язується
particulars подробиці
eh ах
veins вени
polite ввічливий
anna анна
experiences досвід
seal печатка
header заголовок
clergy духовенство
mount монтувати
array масив
corners кути
magazine журнал
loudly голосно
bitterness гіркота
texas техас
guardian опікун
searching пошук
rejected відхилено
harsh сувора
includes включає в себе
boldly сміливо
maurice маврика
kate кейт
lunch обід
pine сосна
shells снаряди
seconds секунд
despite не дивлячись
hoping сподіваючись
injustice несправедливість
expressions вирази
flies летить
push тиснути
tight щільно
problems проблеми
landscape ландшафт
sue судитися
protested протестував
scarlet червоний
abandon відмовитися
artistic художні
mainly головним чином
measured виміряний
loyal лояльний
boiling кипіння
desirous бажаючи
suited підходить
alliance союз
advise раджу
waist талія
sinking занурення
apprehension занепокоєння
stable стабільний
gregory григорій
maximum максимум
commit вчинити
hideous жахливий
hamilton гамільтон
sweetness солодкість
dismissed звільнений
tore розірвав
affect впливати
shaken струснути
evils зла
unworthy недостойний
significance значимість
modified модифікований
miracle диво
lieu лею
peasant селянин
considerably значно
observing спостереження
conveyed передано
resemblance подібність
extend продовжити
riches багатство
personally особисто
morality мораль
rebellion бунт
thread нитка
dumb німий
inclination нахил
forbidden заборонено
copper мідь
differences відмінності
sailor матрос
requested просив
alfred альфред
response відповідь
promoting просування
imperial імперський
blank порожній
purity чистота
victor переможець
bending згинання
solemnly урочисто
twenty-four двадцять чотири
minor неповнолітній
del дель
crimson малиновий
republic республіка
teachers вчителі
ma'am маам
danced танцював
bargain торгуватися
dealt справлявся
fatigue втома
telephone телефон
cents центів
whip кнут
adams адамс
dislike не подобається
witnessed був свідком
infantry піхота
acres акрів
checked перевірено
countrymen співвітчизники
enemy's ворог
companies компаній
normal нормальний
shirt сорочка
addresses адреси
introduce вводити
sofa диван
mothers матерів
sweep розмити
conversion перетворення
sketch ескіз
african африканець
deserved заслужений
answering відповідати
virtuous доброчесний
persian перська
anyway все одно
thief злодій
driver водій
retain зберегти
constructed побудований
daniel данило
ut ut
philadelphia філадельфія
conspicuous помітний
channel канал
nobility дворянство
edith едіт
berlin берлін
editing редагування
cambridge кембридж
declaration декларація
guards охоронці
personality особистість
smallest найменший
excess надлишок
separation розділення
disgust відраза
ha га
accomplish виконати
speeches виступи
herbert герберт
convent монастир
rightly правильно
suspended призупинено
reform реформа
mob моб
thirst спрага
unnecessary непотрібний
treasures скарби
asks запитує
viewed переглянутий
designs конструкції
gleam проблиск
threatening загрозливий
palm пальма
missouri міссурі
filling наповнення
quoth кіт
fur хутро
fortnight два тижні
holes отвори
addressing адресація
frightful страшний
encourage заохочувати
speaker динамік
tribute данина
procure закуповувати
frankly чесно кажучи
recommended рекомендовано
relieve звільнити
intentions наміри
unjust несправедливий
legislation законодавство
project проект
threshold поріг
merits заслуги
morrow завтра
traces сліди
induce індукувати
spear спис
inward всередині
pupils учні
corresponding відповідний
fairy фея
conclude укласти
clung затиснувся
neat акуратний
lucky вдалий
lap коліна
session сесія
torture катування
damp вологий
ridge хребет
spoil зіпсувати
liable несе відповідальність
swords мечі
hearty сердечний
bc до н.е.
abraham авраам
thoughtful вдумливий
traveller мандрівник
chains ланцюги
favorable сприятливий
tin олово
imp. імп
strongest найсильніший
horace горацій
dependent залежний
couch диван
bills рахунки
warrant ордер
complaint скарга
endeavour прагнути
sails вітрила
dined обідали
convention конвенція
guarded охороняється
angle кут
widely широко
illinois іллінойс
charlotte шарлотта
endeavoured намагався
ardent гарячий
cow корова
mill млин
victims жертви
prejudice упередження
foremost перш за все
map карта
probability ймовірність
porch ганок
lieutenant лейтенант
surprising дивним
fountain фонтан
sustained стійкий
appropriate відповідний
ford форд
clara клара
assisted допомагав
lewis льюїс
rejoice радійте
extending продовження
marvellous дивовижний
clothed одягнений
jew єврей
collar комір
bands смуги
confident впевнений
hasty поспішна
nigh близько
organ орган
prose проза
privileges привілеї
selection вибір
inquiries запити
codes коди
replace замінити
saint святий
districts райони
deliberately навмисно
awe благоговіння
beforehand заздалегідь
strife сварки
released випущений
compare порівняти
beer пиво
retorted відповів
relate відносяться
cheerfully весело
pistol пістолет
presume припустити
velvet оксамит
wretch нещасний
susan сьюзен
pennsylvania пенсільванія
stirring перемішування
righteousness праведність
missing відсутній
fain божевільний
facing облицювання
fashionable модний
producing виробництво
peoples народи
positively позитивно
reasoning міркування
gravity сила тяжіння
disturb турбувати
sermon проповідь
exchanged обмінюється
partner партнер
brains мозок
lowered опущений
association асоціація
estates маєтки
abuse зловживання
flock стадо
niece племінниця
languages мови
asserted стверджував
bodily тілесно
notions поняття
oliver олівер
faculty факультет
cannon гармата
thirteen тринадцять
sailing плавання
rings кільця
smart розумний
possessions володіння
disciples учні
petty дріб'язковий
widest найширший
divisions підрозділи
prudent розсудливий
caution обережно
justify виправдати
awhile деякий час
boxes коробки
manuscript рукопис
cigar сигара
warrior воїн
impressions враження
aught ах
lifting підйом
inaccurate неточний
tidings звістка
friday п'ятниця
liquid рідина
staying залишаючись
concept концепція
creek струмок
lo лоу
brush кисть
download скачати
specially спеціально
cream крем
meetings зустрічі
jump стрибати
unwilling не бажаючи
adapted пристосований
practised практикується
combat бій
subdued підкорене
jewish єврейський
innumerable безліч
blowing дует
extra додатково
civilized цивілізований
invented винайшов
japan японія
pitch крок
cliff скеля
crowned коронований
portions порції
awkward незграбний
horrid жахливий
pulling тягнучи
appreciate цінуємо
communicated повідомили
kentucky кентуккі
jury журі
encountered зіткнувся
attacks атаки
monster монстр
simon саймон
maintaining підтримка
sites сайти
frozen заморожений
invariably незмінно
dies вмирає
survive вижити
literally буквально
consolation втішання
m м
phenomena явища
pot горщик
ellen еллен
briefly коротко
rice рис
planned запланований
barbara барбара
respected шановний
sublime піднесений
dropping падіння
guy хлопець
behaviour поведінка
desolate пустель
penny копійки
adopt приймати
replaced замінено
revenue дохід
formats форматів
hired найнятий
regularly регулярно
infringement порушення
curtains штори
eagerness прагнення
helping допомагає
investigation розслідування
constitutional конституційне
insist наполягай
occurs відбувається
fools дурні
inheritance спадщина
latest останній
leap стрибок
games ігри
apple яблуко
visiting відвідування
travellers мандрівники
experiments експерименти
hasn't не має
pupil учень
enjoying насолоджуючись
totally повністю
twisted кручений
discuss обговорюй
firing стрілянина
background фон
subscribe підписатися
tenderly ніжно
transcribe перекладати
descend спускатися
differ відрізняються
majesty's величність
avail скористатися
disaster катастрофа
bet ставка
periodic періодичний
bull бик
entertainment розваги
computers комп'ютери
cursed проклятий
raw сирий
fulfilled виконано
georgia грузія
virus вірус
log журнал
skies небеса
scotch скотч
embraced охопила
hospitality гостинність
faintly слабо
solomon соломон
robbed пограбували
cart кошик
influences вплив
ascended піднявся
incidents інциденти
childish дитячий
robe халат
aboard на борту
resembling нагадує
reflect відбити
dominion панування
dreary мріє
serving порція
complexion колір обличчя
engage займатися
tents намети
herd стадо
attain досягти
collect збирати
disclaims відмовляється
pan каструля
relatives родичі
borrowed запозичений
convert конвертувати
outline контур
blown роздутий
comprehend осягнути
peasants селяни
opera опера
assault штурм
deceive обманювати
doctrines доктрини
representatives представники
dedicated відданий
struggled боровся
officials чиновники
hiding ховається
paths шляхи
backs спини
prominently виразно
prices ціни
procured закуповується
mourning траур
compliment комплімент
heights висоти
approval затвердження
gasped задихнувся
breadth широта
withdraw зняти
tune мелодія
compassion співчуття
polished полірований
latitude широта
dishes посуд
parent батько
contrived придуманий
delicacy ласощі
projected проектований
akin подібний
f ф
betray зрадити
traced простежено
resentment обурення
indemnify компенсувати
pseud псевдо
sacrifices жертви
disguise маскувати
transcription транскрипція
document документ
neighbour сусід
squire сквайр
punish покарати
bars бари
glittering блискучий
tossed кинули
block блок
lots багато
worldly мирський
muscles м'язи
elbow ліктем
obligation зобов'язання
trifling незначний
decline занепаду
attachment прикріплення
ambitious амбіційний
filename ім'я файлу
artists художники
bloom цвісти
holiday свято
brute грубий
repair ремонт
fist кулак
recollect згадаймо
eagle орел
honorable почесний
significant значний
barren безплідний
functions функції
guided керований
dense щільний
fiction вигадка
viz. тобто
adds додає
rows рядки
recommend рекомендую
suspicious підозрілий
resulting в результаті чого
seventy сімдесят
shillings шилінгів
educational освітній
duly належним чином
governed управляється
scripture писання
upwards вгору
sworn присягнув
nicholas микола
horn ріг
brook струмок
fund фонд
vienna відень
lodge подати
infinitely нескінченно
clergyman священик
marshal маршал
ruled правив
fiercely люто
portuguese португальська
costume костюм
pit яма
disorder розлад
sheer чистий
exalted піднесений
fare вартість проїзду
applause оплески
chaucer чосер
remind нагадаю
binary бінарний
packed упакований
pillow подушка
jersey трикотаж
abbey абатство
nowhere ніде
anyhow так чи інакше
agitated збуджений
marching марш
catching ловити
el ел
grasped усвідомив
arrow стрілка
tend схильні
carved різьблений
fitting пристосування
bonds облігації
instructed навчений
elaborate розробити
corpse труп
bewildered здивований
essence сутність
positions позиції
emily емілі
edited відредаговано
continues продовжується
harold гарольд
elevation висота
realm царство
debts борги
glancing глянувши
shops магазини
complained поскаржився
loyalty лояльність
coin монета
clad одягнений
staircase сходи
documents документи
interpreted інтерпретується
4th 4-е місце
extremity кінцівка
accord згода
sally саллі
lace мереживо
tremble тремтить
exile заслання
gospel євангеліє
mechanical механічний
successfully успішно
scholar вчений
wonders чудеса
arab арабський
temperament темперамент
expressing висловлюючи
fred фред
trap пастка
spots плями
awaiting чекаю
potatoes картопля
likeness подібність
harbour гавань
proofs докази
jolly веселий
contributed внесли свій внесок
wits дотепність
generosity щедрість
ruler лінійка
lawrence лоуренс
cake торт
lamps лампи
crazy божевільний
sincerity щирість
entertain розважати
madame мадам
sir сер
faculties факультети
hesitate вагатись
deepest найглибший
seventeen сімнадцять
lordship панування
greeting привітання
feminine жіночий
monstrous чудовисько
tongues язики
barely ледь
3d 3d
mansion особняк
facility об'єкт
praised хвалили
warranties гарантії
sarah сара
happier щасливіше
indicating вказуючи
rob грабувати
gigantic гігантський
honey мило
ladder сходи
ending закінчення
wales уельс
swallowed проковтнути
sunny сонячно
knelt на колінах
tyranny тиранія
decree указ
stake ставка
divide розділити
dreaming мріяти
proclaimed проголошений
dignified гідний
tread протектор
mines міни
viewing перегляд
defense захист
oldest найстаріший
incredible неймовірний
bidding торги
brick цегла
arch арка
everlasting вічний
elect вибрати
sprung спровокований
harder важче
winding намотування
deductible франшиза
magistrate магістрат
respective відповідні
liquor лікер
imitation наслідування
shy сором'язливий
perished загинув
prime прем'єр
studying вивчаючи
eighty вісімдесят
hebrew іврит
unfortunately на жаль
licensed ліцензований
fog туман
coloured кольоровий
bits біти
consult консультуйтеся
moves рухається
r р
warn попередити
taylor тейлор
vile мерзенний
depended залежав
phil філ
legend легенда
locations місця розташування
shallow неглибокий
doom смерть
dreaded страшно
encouragement заохочення
impatiently нетерпляче
scent запах
varieties сорти
irregular нерегулярний
battles битви
compass компас
neighbouring сусідній
bliss блаженство
harvest врожай
promotion просування по службі
stove піч
faithfully вірно
anthony антоній
excellence досконалість
transfer передача
awaited чекав
heathen язичницький
poetic поетичний
consulted консультувався
illustrated ілюстрований
gilbert гілберт
br бр
fundamental фундаментальний
bundle пучок
rebel повстання
cultivation вирощування
joys радості
rigid жорсткий
tragic трагічний
review огляд
representing представляючи
flowed текла
brows брови
whereupon після чого
terribly страшно
melted розплавлений
venerable поважний
towers вежі
cooking приготування їжі
mustn't не повинно
suspicions підозри
old-fashioned старомодний
oppressed пригнічений
australia австралія
friend's друг
revolt бунт
swell розбухати
improve поліпшити
williams вільямс
describes описує
goddess богиня
wreck крах
tennessee штат теннессі
convince переконати
sentences речення
bowl чаша
radiant променистий
prussia пруссія
westward на захід
indignant обурений
refined вишуканий
unseen невидимий
illustration ілюстрація
pertaining що стосується
swamp болото
austrian австрійський
saxon саксон
congregation згромадження
nerve нерв
undertaking зобов'язання
disclaimer відмова від відповідальності
characteristics характеристики
stare дивитися
specimens екземпляри
ascertain з'ясувати
pledge заставу
earn заробляти
warfare війна
supposing припускаючи
subsequently згодом
attending відвідування
angrily сердито
select вибрати
animated анімований
industrial промисловий
hurriedly поспішно
manhood мужність
quantities кількість
interpretation тлумачення
word слово
dressing одягання
rejoiced радів
edinburgh едінбург
catherine катерина
challenge виклик
produces випускає
forbid забороняй
gang банда
boiled варений
shouts кричить
so-called так званий
theme тема
thankful вдячний
admission вхід
enters входить
elevated підвищений
frenchman француз
pool басейн
terrified переляканий
lads хлопці
persisted зберігався
conference конференція
equality рівність
genus род
didst зробив
newly нещодавно
generals генерали
surroundings оточення
sorrows горе
occasioned обумовлений
invasion вторгнення
workmen робітники
monks ченці
sends посилає
turkish турецька мова
discretion розсуд
pattern візерунок
reveal розкрий
endured пережила
resolve вирішити
columbia колумбія
preach проповідувати
exceeding перевищення
ringing дзвін
triumphant переможний
defiance невдоволення
errand доручення
woke прокинувся
grandmother бабуся
weighed зважений
wool шерсть
orleans орлеан
communicate спілкуватися
strikes страйки
promising перспективний
scenery пейзажі
righteous праведний
essentially по суті
oppose виступати проти
joyous радісний
specimen зразок
doctors лікарі
eloquent красномовний
manager менеджер
organs органи
sticks палички
drag перетягніть
haunted переслідував
chorus хор
rational раціональний
crop урожай
processing обробка
accurate точний
wolf вовк
adorned прикрашений
sheets аркуші
resort курорт
refusal відмова
bond облігація
vicinity околиці
preacher проповідник
sympathetic співчутливий
casting кастинг
opens відкривається
prophets пророки
horns роги
warmly тепло
salary зарплата
continuous безперервний
satan сатана
continual постійний
defended захищав
breaks ламається
workers працівники
lantern ліхтар
balls кулі
rod стержень
blaze палаюче
examining вивчення
naples неаполь
peculiarly своєрідно
vegetables овочі
ingenious геніальний
excite збуджуйся
howard говард
horseback верхова їзда
re-use повторне використання
louisiana луїзіана
farmers фермери
wildly дико
mouths рот
carpet килим
sadness смуток
customary звичний
circles кола
aren't ні
wonderfully чудово
max макс
juan хуан
successor спадкоємець
allied союзник
ceiling стеля
confirmation підтвердження
glances погляд
diamonds алмази
goal мета
representations уявлення
cash готівка
vacant вакантний
antiquity давнину
despise зневажай
lawn газон
they'll вони будуть
appealed оскаржили
turkey індичка
texts тексти
neighbor сусід
spreading розповсюдження
discharged звільнений
phrases фраз
ultimate остаточний
tastes смаки
submission подання
entry входження
rachel рейчел
blush почервоніти
monument пам'ятник
hardy витривалість
thorough ретельний
ein ein
ecclesiastical церковний
fertile родючий
exciting хвилююче
captive в полоні
severity суворість
considerations міркування
shew показати
faster швидше
louise луїза
grandeur велич
winning виграш
solely виключно
globe глобус
malice злість
echoed відлуння
lodging проживання
conservative консервативний
throng толп
prosperous процвітаючий
whistle свист
floated плавав
transferred передано
declaring декларуючи
reckoned розрахований
cheese сир
bite кусати
thoughtfully задумливо
breach порушення
enthusiastic ентузіазм
cars автомобілі
downstairs внизу
allowing дозволяючи
invite запросити
adjoining примикає
dusk сутінки
cathedral собор
truths істини
plague чума
sandy піщаний
boil кип'ятити
caroline кароліна
beautifully красиво
inhabited заселений
tomorrow завтра
exclamation вигук
finishing обробка
shocked шокований
escort супровід
forgetting забуваючи
hanged повішений
hats капелюхи
mirth радість
uncomfortable незручно
connecticut коннектикут
bows луки
pierced пронизаний
harbor гавань
tricks трюки
rubbed протертий
apparatus апарат
mysteries таємниці
honesty чесність
negroes негрів
concerns стурбованість
wander тиняйся
assert стверджувати
ceremonies церемонії
sacrificed пожертвував
utterance вислів
dismay обурення
fright переляканий
rail залізниця
reflections роздуми
crops зернові культури
pushing штовхати
proves доводить
jimmy джиммі
pathetic жалюгідний
imperfect недосконалий
haughty пихатий
navy флот
fortress фортеця
hurrying поспішаючи
x х
blessings благословення
attempting спроба
insects комахи
selling продаж
appreciation вдячність
suppressed пригнічений
acquire придбати
offensive наступальний
ripe стиглий
dresses сукні
reigned панував
coldly холодно
candles свічки
km км
sixth шостий
blazing палаючий
youngest наймолодший
mask маска
florida флорида
lecture лекція
parlor салон
decidedly рішуче
whereby за допомогою чого
gordon гордон
reverend преподобний
successive послідовний
perception сприйняття
buffalo буйвол
sire співачка
quitted кинув
keys ключі
develop розвиватися
function функція
morals моралі
damned проклятий
vexed здивований
2d 2d
pouring наливання
bullet куля
excessive надмірна
bind зв'язати
identical однаковий
cliffs скелі
tools інструменти
byron байрон
mexican мексиканський
piety благочестя
superstition забобони
git гіт
substantial суттєвий
bulk основна маса
prevail переважати
wiser мудріший
preaching проповідування
prolonged тривалий час
annoyed дратує
westminster вестмінстер
splendour великолепие
remembering пам'ятаю
richmond річмонд
upset засмучений
cab таксі
bunch пучок
pencil олівець
subjected підданий
vegetable овочевий
exhibit експонат
emerged з'явився
cooked приготований
hay сіна
kansas канзас
gale шторм
preached проповідується
arnold арнольд
trousers брюки
debate дебати
dated датовано
tumult бурмотіти
corruption корупція
summons виклик
comrade товариш
eternity вічність
hears чує
lingered затримався
propriety пристойність
stillness тиша
partial частковий
welcomed вітали
cabinet кабінет
proceeds продовжує
vow клятва
quaint приємний
soup суп
beef яловичина
rests відпочинок
slay убити
surgeon хірург
irresistible непереборний
sealed запечатаний
repeating повторюючи
needn't не треба
allowance допомога
undertaken вчинено
treachery зрада
posts пости
borders кордони
attendant супроводжуючий
unite об'єднайся
murderer вбивця
owners власники
nm н.м.
sweeping підмітання
unconsciously несвідомо
blade лезо
saviour рятівник
theories теорії
graham грем
behaved вів себе
pleaded закликав
spy шпигун
possesses володіє
lawful законний
tommy томмі
seasons сезони
withdrawn вилучено
reckless безрозсудний
factory фабрика
shades відтінки
gossip плітки
seventh сьомий
attendance відвідування
robes одяг
journal журнал
systems системи
dryden драйден
maine мейн
token токен
intimacy близькість
abstract абстрактний
machines машини
bestow дарувати
chanced ченс
locks замки
honestly чесно
legitimate законний
accent акцент
symptoms симптоми
votes голосів
ragged обірваний
thursday четвер
manifested проявляється
fidelity вірність
swinging розмахуючи
descending спускається
sincerely щиро
bred розведено
whereof звідки
indies інди
novels романи
league ліга
failing невдача
succeeding успішний
santa санта
approve схвалювати
cautiously обережно
miller міллер
afflicted страждає
lodgings житло
petition петиція
traffic трафік
sparkling ігристий
limb кінцівка
architecture архітектура
disposal утилізація
carriages вагони
crack тріщина
kindred родинний
naught нічого
ornament орнамент
slew вбив
steward стюард
fantastic фантастичний
evolution еволюція
patiently терпляче
reverse зворотний
survey обстеження
dug викопаний
amuse розважати
stretching розтягування
isaac ісаак
forthwith негайно
contemporary сучасний
foliage листя
receives отримує
scandal скандал
donors донори
deliberate навмисний
influenced під впливом
